Bencaos que nao tem Fim - Alem da Emocao - EP2
YouTube: https://youtu.be/exemplo
Time	Subtitle
0s	Sejam muito bem-vindos a mais um episodio do Alem da Emocao, nosso
4s	programa semanal de analise biblica e teologica de louvores cristaos. [musica]
9s	>> Ola, pessoal. E muito bom estar aqui de novo para mais um mergulho profundo com
14s	voces hoje. >> E olha, o mergulho de hoje e sobre um
18s	fenomeno, ne? Imagina uma musica com um alcance tao assustador que ela sim
24s	acumula rapidamente mais de 260 milhoes de visualizacoes.
28s	>> Nossa, e um numero absurdo para qualquer padrao
31s	>> demais. Ela entrou no top 10 da Billboard Brasil e o impacto dessa
36s	musica aqui no Brasil foi um negocio assim estrondoso.
41s	E raro a gente ver uma cancao quebrar tantas barreiras de denominacao e de
45s	publico ao mesmo tempo. >> Sim, ela desafiou a gravidade da
49s	industria, ne? Virou tipo a trilha sonora oficial de qualquer video de
54s	testemunho nas redes sociais. >> Pois e. No Instagram, no TikTok, em todo
57s	lugar. >> Furou a bolha completamente, ne? Todo
1:00	mundo cantando. >> Exato. O nome da musica e Bencaos que
1:04	nao tem fim, que e aquela versao super famosa na voz da Isadora Pompeu pra
1:09	cancao original, ne, Counting My Blessings.

Corte 1
0s	Sejam muito bem-vindos a mais um episodio do Alem da Emocao, nosso
1:09	cancao original, ne, Counting My Blessings.

Corte 2
18s	fenomeno, ne? Imagina uma musica com um alcance tao assustador que ela sim
57s	lugar. >> Furou a bolha completamente, ne? Todo
